"sp"	"x"	"y"
"p_astreoides"	-61.116667	17.016667
"p_astreoides"	-88.016667	16.15
"p_astreoides"	-64.1	17.133333
"p_astreoides"	-64.116667	17.133333
"p_astreoides"	-79.15	9.066667
"p_astreoides"	-59.066667	13.016667
"p_astreoides"	-71.133333	18.1
"p_astreoides"	-71.1	18.066667
"p_astreoides"	-82.863464	24.624794
"p_astreoides"	-82.863464	24.624794
"p_astreoides"	-82.863464	24.624794
"p_astreoides"	-82.863464	24.624794
"p_astreoides"	-82.863464	24.624794
"p_astreoides"	-82.872	24.6293
"p_astreoides"	-82.873	24.6283
"p_astreoides"	-82.92	24.6333
"p_astreoides"	-82.92	24.6333
"p_astreoides"	-82.7998	24.65372
"p_astreoides"	-82.84075	24.70702
"p_astreoides"	-82.83265	24.71143
"p_astreoides"	-82.7981	24.69886
"p_astreoides"	-82.77281	24.69371
"p_astreoides"	-82.77374	24.69352
"p_astreoides"	-82.77197	24.69369
"p_astreoides"	-83.04861	24.68372
"p_astreoides"	-83.04861	24.68372
"p_astreoides"	-83.04861	24.68372
"p_astreoides"	-82.184	24.65
"p_astreoides"	-82.361111	24.451667
"p_astreoides"	-82.4166	24.6332
"p_astreoides"	-82.4166	24.6332
"p_astreoides"	-81.87	24.4348
"p_astreoides"	-81.8775	24.4538
"p_astreoides"	-81.87	24.4348
"p_astreoides"	-81.71718	24.47855
"p_astreoides"	-81.717773	24.479605
"p_astreoides"	-81.4059	24.5484
"p_astreoides"	-81.4059	24.5484
"p_astreoides"	-81.4059	24.5484
"p_astreoides"	-81.4059	24.5484
"p_astreoides"	-81.4059	24.5484
"p_astreoides"	-81.321401	24.570507
"p_astreoides"	-81.321401	24.570507
"p_astreoides"	-81.321401	24.570507
"p_astreoides"	-81.110472	24.625694
"p_astreoides"	-81.110389	24.625361
"p_astreoides"	-81.110611	24.625778
"p_astreoides"	-80.78157	24.7452
"p_astreoides"	-80.78146	24.745
"p_astreoides"	-80.78115	24.74419
"p_astreoides"	-80.77889	24.74536
"p_astreoides"	-80.6164	24.8504
"p_astreoides"	-80.6164	24.8504
"p_astreoides"	-80.6164	24.8504
"p_astreoides"	-80.303794	25.110239
"p_astreoides"	-80.304033	25.110297
"p_astreoides"	-80.304764	25.110622
"p_astreoides"	-80.2114	25.2212
"p_astreoides"	-80.2114	25.2212
"p_astreoides"	-80.2114	25.2212
"p_astreoides"	-80.2098	25.221
"p_astreoides"	-80.2098	25.221
"p_astreoides"	-80.2114	25.2218
"p_astreoides"	-80.1423	25.3707
"p_astreoides"	-80.1629	25.3862
"p_astreoides"	-80.1629	25.3862
"p_astreoides"	-80.16299	25.38617
"p_astreoides"	-80.16235	25.38603
"p_astreoides"	-80.1591	25.3838
"p_astreoides"	-80.15535	25.38226
"p_astreoides"	-80.1267	25.424
"p_astreoides"	-80.1267	25.424
"p_astreoides"	-80.0967	25.5906
"p_astreoides"	-80.0967	25.5906
"p_astreoides"	-64.599998	17.783333
"p_astreoides"	-80.064445	26.254168
"p_astreoides"	-71.616669	18.516666
"p_astreoides"	-71.616669	18.516666
"p_astreoides"	-71.616669	18.516666
"p_astreoides"	-71.616669	18.516666
"p_astreoides"	-79.874508	9.405287
"p_astreoides"	-79.874405	9.404703
"p_astreoides"	-79.874224	9.404322
"p_astreoides"	-79.874945	9.405998
"p_astreoides"	-79.87546	9.407116
"p_astreoides"	-79.875821	9.407853
"p_astreoides"	-59.410859	13.141584
"p_astreoides"	-59.416148	13.128726
"p_astreoides"	-59.420146	13.125805
"p_astreoides"	-59.424963	13.120937
"p_astreoides"	-59.433724	13.112726
"p_astreoides"	-59.440195	13.103185
"p_astreoides"	-59.445427	13.09577
"p_astreoides"	-59.487267	13.062235
"p_astreoides"	-59.51138	13.044471
"p_astreoides"	-88.15103	16.613718
"p_astreoides"	-88.166062	16.64349
"p_astreoides"	-88.161155	16.644616
"p_astreoides"	-88.16614	16.639019
"p_astreoides"	-88.158273	16.640885
"p_astreoides"	-88.168204	16.670398
"p_astreoides"	-88.163057	16.716471
"p_astreoides"	-88.151765	16.739902
"p_astreoides"	-88.159717	16.723267
"p_astreoides"	-88.158955	16.709137
"p_astreoides"	-88.17295	16.673193
"p_astreoides"	-88.201109	16.680137
"p_astreoides"	-88.180172	16.654181
"p_astreoides"	-88.163546	16.634417
"p_astreoides"	-88.140147	16.644447
"p_astreoides"	-88.225124	16.635597
"p_astreoides"	-88.208806	16.628812
"p_astreoides"	-88.15431	16.616716
"p_astreoides"	-88.168165	16.610815
"p_astreoides"	-88.186408	16.608018
"p_astreoides"	-88.179337	16.598701
"p_astreoides"	-88.213809	16.594183
"p_astreoides"	-88.149664	16.579989
"p_astreoides"	-88.143094	16.559044
"p_astreoides"	-88.19294	16.551514
