"sp"	"x"	"y"
"p_astreoides"	-71.516667	21.5
"p_astreoides"	-71.533333	21.483333
"p_astreoides"	-71.533333	21.483333
"p_astreoides"	-64.925833	18.325833
"p_astreoides"	-68.96972	12.120833
"p_astreoides"	-82.773	24.694
"p_astreoides"	-81.109	24.627
"p_astreoides"	-80.527	24.563
"p_astreoides"	-80.096	25.591
"p_astreoides"	-64.743611	32.374167
"p_astreoides"	-64.834722	32.457222
"p_astreoides"	-61.7625	12.085
"p_astreoides"	-61.7585	12.08425
"p_astreoides"	-61.767972	12.039472
"p_astreoides"	-61.02805	12.039472
"p_astreoides"	-61.483889	12.485492
"p_astreoides"	-61.492028	12.484028
"p_astreoides"	-61.467808	12.496167
"p_astreoides"	-61.499917	12.445583
"p_astreoides"	-80.1	25.59
"p_astreoides"	-80.53	24.91
"p_astreoides"	-81.11	24.63
"p_astreoides"	-82.77	24.69
"p_astreoides"	-81.49692	24.57917
"p_astreoides"	-81.43741	24.55268
"p_astreoides"	-64.834722	32.457222
"p_astreoides"	-64.855	32.488333
"p_astreoides"	-81.516667	24.55
"p_astreoides"	-80.833333	24.733333
"p_astreoides"	-66.523267	18.483017
"p_astreoides"	-66.527383	18.484217
"p_astreoides"	-80.62	24.9
"p_astreoides"	-64.985664	18.344859
"p_astreoides"	-64.985664	18.344859
"p_astreoides"	-61.579783	16.36085
"p_astreoides"	-64.704028	18.302028
"p_astreoides"	-86.866667	20.833333
"p_astreoides"	-88.081944	16.8025
"p_astreoides"	-81.38015	24.5529
"p_astreoides"	-81.429033	24.605767
"p_astreoides"	-78.91517	20.77453
"p_astreoides"	-78.97931	20.82598
"p_astreoides"	-78.8832	20.81478
"p_astreoides"	-78.97028	20.87765
"p_astreoides"	-78.73354	21.09232
"p_astreoides"	-78.7208	21.10845
"p_astreoides"	-81.62795	21.58387
"p_astreoides"	-81.6382	21.56893
"p_astreoides"	-81.76323	21.55521
"p_astreoides"	-81.934	21.602
"p_astreoides"	-64.7219	18.3095
"p_astreoides"	-64.7241	18.3182
"p_astreoides"	-80.829033	24.733367
"p_astreoides"	-81.50135	24.56069
"p_astreoides"	-74.438278	24.091144
"p_astreoides"	-74.438981	24.091572
"p_astreoides"	-74.438836	24.091253
"p_astreoides"	-74.438722	24.091542
"p_astreoides"	-74.438581	24.090444
"p_astreoides"	-74.438333	24.090453
"p_astreoides"	-74.438642	24.090683
"p_astreoides"	-80.266667	14.383333
"p_astreoides"	-86.8	20.8
"p_astreoides"	-88.57276	16.18987
"p_astreoides"	-81.733889	12.485278
"p_astreoides"	-81.729722	12.508333
"p_astreoides"	-64.764398	18.313848
"p_astreoides"	-80.8288	24.7334
"p_astreoides"	-80.8295	24.733717
"p_astreoides"	-80.6182	24.8977
"p_astreoides"	-64.743611	32.374167
"p_astreoides"	-64.834722	32.457222
"p_astreoides"	-64.855	32.488333
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-81.384	24.552333
"p_astreoides"	-65.333333	18.324722
"p_astreoides"	-65.566111	18.350833
"p_astreoides"	-80.826283	24.7334
"p_astreoides"	-80.827233	24.7318
"p_astreoides"	-65.560	18.298
"p_astreoides"	-65.698	18.189
"p_astreoides"	-66.609	17.904
"p_astreoides"	-66.888	17.936
"p_astreoides"	-67.211	18.001
"p_astreoides"	-67.233	17.991
"p_astreoides"	-67.276	18.166
"p_astreoides"	-67.275	18.165
"p_astreoides"	-67.274	18.163
"p_astreoides"	-67.27	18.347
"p_astreoides"	-67.266	18.35
"p_astreoides"	-67.488	18.382
"p_astreoides"	-67.489	18.382
"p_astreoides"	-67.487	18.378
"p_astreoides"	-67.938	18.099
"p_astreoides"	-67.937	18.072
"p_astreoides"	-67.048517	17.934933
"p_astreoides"	-86.740803	21.161523
"p_astreoides"	-81.49693	24.57917
"p_astreoides"	-81.43741	24.55268
"p_astreoides"	-64.83	32.458333
"p_astreoides"	-64.8208	32.434033
"p_astreoides"	-81.33	24.648333
"p_astreoides"	-68.971833	12.124333
"p_astreoides"	-67.0563	17.95258
"p_astreoides"	-86.741131	21.160772
"p_astreoides"	-86.725925	21.196019
"p_astreoides"	-84.490889	21.834833
"p_astreoides"	-84.499422	21.821614
"p_astreoides"	-86.831367	20.926783
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-80.058333	19.692167
"p_astreoides"	-80.054333	19.691333
"p_astreoides"	-34.786111	-7.155833
"p_astreoides"	-80.50207	24.9465
"p_astreoides"	-80.41387	25.0136833
"p_astreoides"	-80.4614	24.9511167
"p_astreoides"	-80.45792	25.0094333
"p_astreoides"	-80.36823	25.0178667
"p_astreoides"	-80.56272	24.9389833
"p_astreoides"	-80.54952	24.9341333
"p_astreoides"	-80.39623	25.02185
"p_astreoides"	-80.45603	24.9575833
"p_astreoides"	-80.38757	25.0042333
"p_astreoides"	-80.45687	24.9465333
"p_astreoides"	-80.45595	24.94621667
"p_astreoides"	-80.45243	24.9580667
"p_astreoides"	-80.43075	24.97095
"p_astreoides"	-80.37987	25.0041333
"p_astreoides"	-81.7302	24.4784833
"p_astreoides"	-81.74268	24.4741667
"p_astreoides"	-81.82217	24.4687667
"p_astreoides"	-81.54248	24.5158167
"p_astreoides"	-81.54315	24.5138167
"p_astreoides"	-81.58197	24.5042167
"p_astreoides"	-82.87133	24.6107833
"p_astreoides"	-82.78715	24.72225
"p_astreoides"	-83.10167	24.62875
"p_astreoides"	-64.69243	32.3598833
"p_astreoides"	-64.65738	32.3367167
"p_astreoides"	-64.65405	32.3354167
"p_astreoides"	-64.65423	32.3252667
"p_astreoides"	-65.65172	18.5303667
"p_astreoides"	-65.49722	18.4647167
"p_astreoides"	-65.12772	18.3098167
"p_astreoides"	-81.503	24.5615
"p_astreoides"	-64.83	32.458333
"p_astreoides"	-64.8208	32.434033
"p_astreoides"	-81.429033	24.605767
"p_astreoides"	-81.48355	24.53145
"p_astreoides"	-81.581433	24.585883
"p_astreoides"	-81.577683	24.52165
"p_astreoides"	-81.379083	24.55325
"p_astreoides"	-81.45505	24.59723
"p_astreoides"	-80.56272	24.9398
"p_astreoides"	-80.50207	24.9465
"p_astreoides"	-81.501333	24.5615
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-86.866667	20.833333
"p_astreoides"	-64.747722	32.375639
"p_astreoides"	-86.866667	20.833333
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-81.384	24.552333
"p_astreoides"	-77.429444	18.477778
"p_astreoides"	-88.082133	16.802883
"p_astreoides"	-81.57675	24.521717
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-80.12058	25.50851
"p_astreoides"	-80.814722	24.742778
"p_astreoides"	-81.50127	24.56028
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-80.39	25.04
"p_astreoides"	-76.14	23.79
"p_astreoides"	-64.987667	18.317333
"p_astreoides"	-82.584833	24.468333
"p_astreoides"	-80.207667	25.270167
"p_astreoides"	-88.073667	16.804
"p_astreoides"	-68.954444	12.108917
"p_astreoides"	-68.959056	12.111111
"p_astreoides"	-68.960361	12.112333
"p_astreoides"	-68.999194	12.140444
"p_astreoides"	-69.151833	12.328472
"p_astreoides"	-81.582617	24.5857
"p_astreoides"	-81.57675	24.521717
"p_astreoides"	-81.582617	24.5857
"p_astreoides"	-81.57675	24.521717
"p_astreoides"	-38.079722	-12.667778
"p_astreoides"	-38.055	-12.656111
"p_astreoides"	-38.027778	-12.622222
"p_astreoides"	-37.983056	-12.578333
"p_astreoides"	-80.8265	24.7336
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-81.532333	24.553167
"p_astreoides"	-81.532333	24.5485
"p_astreoides"	-81.501667	24.56
"p_astreoides"	-96.0334	27.8669
"p_astreoides"	-96.0364	27.8545
"p_astreoides"	-96.0282	27.8388
"p_astreoides"	-96.0892	27.9042
"p_astreoides"	-96.3071	28.0222
"p_astreoides"	-96.3071	28.0222
"p_astreoides"	-96.2596	27.9942
"p_astreoides"	-93.3095	27.7786
"p_astreoides"	-93.1377	27.7611
"p_astreoides"	-93.8857	28.6678
"p_astreoides"	-93.769	28.361
"p_astreoides"	-93.5822	29.1872
"p_astreoides"	-93.3878	28.7579
"p_astreoides"	-93.4912	28.3759
